eventID,Zone,QuakeProb,Mq,Slip,NumSubfaults
325,java,0.144700E-03,7.500,0.170394E+01,3
326,java,0.144700E-03,7.500,0.170394E+01,6
327,java,0.144700E-03,7.500,0.170394E+01,6
328,java,0.144700E-03,7.500,0.170394E+01,6
329,java,0.144700E-03,7.500,0.170394E+01,6
330,java,0.144700E-03,7.500,0.170394E+01,6
331,java,0.144700E-03,7.500,0.170394E+01,6
332,java,0.144700E-03,7.500,0.170394E+01,6
333,java,0.144700E-03,7.500,0.170394E+01,6
334,java,0.144700E-03,7.500,0.170394E+01,6
335,java,0.144700E-03,7.500,0.170394E+01,6
336,java,0.144700E-03,7.500,0.170394E+01,6
337,java,0.144700E-03,7.500,0.170394E+01,6
338,java,0.144700E-03,7.500,0.170394E+01,3
339,java,0.144700E-03,7.500,0.170394E+01,6
340,java,0.144700E-03,7.500,0.170394E+01,6
341,java,0.144700E-03,7.500,0.170394E+01,6
342,java,0.144700E-03,7.500,0.170394E+01,6
343,java,0.144700E-03,7.500,0.170394E+01,6
344,java,0.144700E-03,7.500,0.170394E+01,6
345,java,0.144700E-03,7.500,0.170394E+01,6
346,java,0.144700E-03,7.500,0.170394E+01,6
347,java,0.144700E-03,7.500,0.170394E+01,6
348,java,0.144700E-03,7.500,0.170394E+01,6
349,java,0.144700E-03,7.500,0.170394E+01,6
350,java,0.144700E-03,7.500,0.170394E+01,6
351,java,0.144700E-03,7.500,0.170394E+01,3
352,java,0.144700E-03,7.500,0.170394E+01,6
353,java,0.144700E-03,7.500,0.170394E+01,6
354,java,0.144700E-03,7.500,0.170394E+01,6
355,java,0.144700E-03,7.500,0.170394E+01,6
356,java,0.144700E-03,7.500,0.170394E+01,6
357,java,0.144700E-03,7.500,0.170394E+01,6
358,java,0.144700E-03,7.500,0.170394E+01,6
359,java,0.144700E-03,7.500,0.170394E+01,6
360,java,0.144700E-03,7.500,0.170394E+01,6
361,java,0.144700E-03,7.500,0.170394E+01,6
362,java,0.144700E-03,7.500,0.170394E+01,6
363,java,0.144700E-03,7.500,0.170394E+01,6
364,java,0.144700E-03,7.500,0.170394E+01,3
365,java,0.144700E-03,7.500,0.170394E+01,6
366,java,0.144700E-03,7.500,0.170394E+01,6
367,java,0.144700E-03,7.500,0.170394E+01,6
368,java,0.144700E-03,7.500,0.170394E+01,6
369,java,0.144700E-03,7.500,0.170394E+01,6
370,java,0.144700E-03,7.500,0.170394E+01,6
371,java,0.144700E-03,7.500,0.170394E+01,6
372,java,0.144700E-03,7.500,0.170394E+01,6
373,java,0.144700E-03,7.500,0.170394E+01,6
374,java,0.144700E-03,7.500,0.170394E+01,6
375,java,0.144700E-03,7.500,0.170394E+01,6
376,java,0.144700E-03,7.500,0.170394E+01,6
377,java,0.144700E-03,7.500,0.170394E+01,3
378,java,0.144700E-03,7.500,0.170394E+01,6
379,java,0.144700E-03,7.500,0.170394E+01,6
380,java,0.144700E-03,7.500,0.170394E+01,6
381,java,0.144700E-03,7.500,0.170394E+01,6
382,java,0.144700E-03,7.500,0.170394E+01,6
383,java,0.144700E-03,7.500,0.170394E+01,6
384,java,0.144700E-03,7.500,0.170394E+01,6
385,java,0.144700E-03,7.500,0.170394E+01,6
386,java,0.144700E-03,7.500,0.170394E+01,6
387,java,0.144700E-03,7.500,0.170394E+01,6
388,java,0.144700E-03,7.500,0.170394E+01,6
389,java,0.144700E-03,7.500,0.170394E+01,6
390,java,0.144700E-03,7.500,0.170394E+01,3
391,java,0.144700E-03,7.500,0.170394E+01,6
392,java,0.144700E-03,7.500,0.170394E+01,6
393,java,0.144700E-03,7.500,0.170394E+01,6
394,java,0.144700E-03,7.500,0.170394E+01,6
395,java,0.144700E-03,7.500,0.170394E+01,6
396,java,0.144700E-03,7.500,0.170394E+01,6
